Staff,Floor Space,Window,Car park,Demographic score,Location,40min population,30 min population,20 min population,10 min population,Store age,Clearance space,Competition number,Competition score,Profit,Performance
9,18526,121,Yes,10,Retail Park,1288374,1138224,1006986,1002340,3,238,16,16,3410865,Good
8,18569,121,Yes,11,Shopping Centre,1086225,1015321,1012182,1008436,4,384,15,19,4034051,Excellent
2,12288,105,No,12,Retail Park,1595638,1281661,1104490,1011395,11,219,13,18,2297810,Poor
7,17092,117,No,14,High Street,1179395,1022959,1009496,1002169,5,261,15,12,2398990,Poor
7,11307,103,No,18,Retail Park,1398558,1085170,1003137,1002513,7,200,19,13,2288235,Poor
7,17888,119,Yes,19,Retail Park,1614716,1325848,1220059,1193318,2,394,17,11,3058134,Good
8,13814,109,Yes,17,High Street,1323396,1047485,1000888,1000844,5,228,11,14,2793160,Reasonable
9,15643,114,Yes,11,Retail Park,1052606,1025407,1004490,1000319,4,258,12,16,3345936,Good
9,13869,109,Yes,12,Shopping Centre,1537032,1301956,1220364,1057921,9,217,19,14,3117205,Good
7,12071,105,Yes,19,High Street,1141000,1029186,1005096,1000687,6,222,16,18,3153278,Good
9,13487,108,Yes,15,Retail Park,1066359,1032143,1012703,1001537,10,246,15,13,3056804,Good
8,11071,102,No,12,Retail Park,1514670,1400857,1319646,1010879,11,202,15,10,1801619,Poor
8,18923,122,Yes,18,Shopping Centre,1270676,1175257,1032335,1020164,9,237,10,17,3797953,Excellent
8,13827,109,Yes,12,Retail Park,1132725,1102537,1058262,1012348,7,242,19,13,3138911,Good
5,14588,111,Yes,17,High Street,1242546,1053056,1047783,1007899,10,261,11,19,2724068,Reasonable
6,11824,104,Yes,14,High Street,1043277,1004546,1001718,1000627,6,225,11,19,2382751,Poor
8,14291,110,Yes,18,High Street,1395395,1010441,1005783,1004909,2,272,16,11,3321899,Good
6,10911,102,Yes,10,Retail Park,1392302,1113062,1097869,1030824,2,203,10,18,2803867,Reasonable
9,15219,113,Yes,15,Shopping Centre,1973493,1929089,1429238,1426533,6,324,12,13,3640627,Excellent
9,12128,105,No,14,Shopping Centre,1634545,1482561,1353056,1296149,5,249,11,18,3075352,Good
6,18686,121,Yes,12,Shopping Centre,1721811,1279394,1212956,1036456,4,346,11,16,3491993,Good
7,19025,122,Yes,11,High Street,1817320,1735622,1723395,1272149,11,223,10,17,3252148,Good
7,18535,121,No,13,High Street,1182360,1077124,1049837,1014968,9,266,11,18,3041618,Good
6,16219,115,Yes,13,Shopping Centre,1759951,1635794,1232915,1158507,5,273,16,18,3737466,Excellent
9,19337,123,Yes,16,High Street,1137206,1066238,1049975,1041967,5,293,17,19,4217291,Excellent
5,12234,105,No,14,Retail Park,1765398,1555157,1053211,1015616,7,234,11,16,2008363,Poor
7,13810,109,Yes,14,High Street,1392247,1077683,1068892,1045144,5,270,13,17,3516397,Excellent
6,19000,122,Yes,14,Shopping Centre,1546802,1447179,1074217,1006703,5,206,16,18,3957233,Excellent
5,16736,116,Yes,10,High Street,1474310,1366274,1003031,1002039,6,237,18,10,2942839,Reasonable
9,12959,107,No,17,High Street,1575328,1245626,1210849,1099580,11,241,11,13,2242288,Poor
6,16607,116,Yes,15,Retail Park,1956875,1461685,1405893,1184961,2,233,14,16,2616387,Reasonable
7,18284,120,No,10,Shopping Centre,1879248,1692035,1006608,1005623,8,207,17,16,2493975,Poor
6,18399,120,Yes,15,High Street,1101114,1087742,1063778,1018675,10,408,12,15,2203994,Poor
8,18077,120,Yes,16,High Street,1518005,1057762,1010136,1008599,9,281,10,11,2458785,Poor
8,19093,122,Yes,17,Retail Park,1609510,1549228,1427320,1027983,11,232,12,16,4253984,Excellent
9,16915,117,Yes,13,High Street,1697206,1222492,1162941,1018063,4,368,10,18,4185306,Excellent
9,14605,111,Yes,10,Retail Park,1486821,1053920,1002953,1000801,9,305,17,19,4160531,Excellent
7,11834,104,No,12,Retail Park,1555172,1489253,1120444,1093443,8,219,19,16,3100521,Good
6,15041,112,Yes,17,Shopping Centre,1408324,1372550,1249482,1102259,6,267,17,13,3246954,Good
5,13127,107,No,16,High Street,1171849,1084983,1006564,1003013,7,235,19,10,2085733,Poor
9,17586,118,Yes,18,Shopping Centre,1661094,1388562,1179306,1083011,5,264,10,10,3741911,Excellent
9,12075,105,Yes,10,High Street,1987353,1812472,1105847,1090676,7,227,14,13,2506748,Reasonable
7,11441,103,No,13,Shopping Centre,1772431,1331168,1140500,1051557,11,207,10,13,2393869,Poor
8,17006,117,Yes,10,Retail Park,1722997,1138993,1118970,1087986,10,323,15,19,4137224,Excellent
9,12913,107,Yes,11,Retail Park,1845352,1142379,1135291,1123134,2,223,16,16,3572475,Excellent
9,14948,112,No,15,High Street,1892976,1100161,1053955,1005729,4,263,19,17,3121837,Good
5,11572,103,Yes,12,High Street,1518361,1004958,1002835,1001393,3,209,14,17,2799074,Reasonable
5,11038,102,Yes,14,Shopping Centre,1337148,1306856,1078736,1056905,8,202,13,12,2707402,Reasonable
5,18143,120,Yes,12,Shopping Centre,1337555,1094390,1092683,1069579,8,355,16,19,4176642,Excellent
7,14359,110,No,15,Retail Park,1318997,1210225,1005431,1001776,6,285,15,10,1829621,Poor
9,13289,108,Yes,19,Retail Park,1239852,1055619,1000653,1000359,8,272,11,11,2681110,Reasonable
9,10774,101,Yes,17,Shopping Centre,1438538,1264765,1226241,1162342,8,217,13,10,2411437,Poor
7,13637,109,Yes,16,Retail Park,1775854,1347098,1232542,1103495,9,208,19,17,4300537,Excellent
5,10944,102,Yes,10,Shopping Centre,1451335,1339685,1162571,1103072,3,204,13,14,2234201,Poor
8,11538,103,No,10,Retail Park,1806266,1296257,1022238,1001346,7,228,12,15,2342229,Poor
7,11898,104,Yes,17,High Street,1682013,1560162,1447033,1397710,8,200,18,15,2104028,Poor
7,13532,108,Yes,10,Retail Park,1911293,1415771,1322834,1084790,5,202,11,10,2406120,Poor
6,11967,104,Yes,16,Shopping Centre,1678349,1113468,1027034,1018319,4,219,10,12,2839607,Reasonable
7,16270,115,Yes,18,Retail Park,1819666,1105522,1010812,1005503,3,350,17,15,2831103,Reasonable
5,12604,106,Yes,12,Shopping Centre,1359135,1218693,1145770,1067001,10,242,12,15,3032277,Good
7,19087,122,Yes,16,Retail Park,1080858,1045879,1040302,1033760,10,343,12,14,3625088,Excellent
5,16055,115,No,13,Retail Park,1578396,1462181,1346727,1318099,7,225,14,16,2196757,Poor
6,14362,110,Yes,13,Shopping Centre,1990908,1395670,1320752,1095986,3,246,12,11,3336417,Good
6,12363,105,Yes,12,Shopping Centre,1090251,1085936,1056470,1028772,6,214,16,11,2779994,Reasonable
8,15292,113,Yes,16,Retail Park,1099956,1008500,1003118,1000509,11,323,16,16,3175101,Good
5,19295,123,Yes,17,Shopping Centre,1933714,1360183,1300810,1152990,2,336,15,16,4587304,Excellent
8,14833,112,Yes,15,High Street,1345628,1088954,1035579,1025745,2,249,14,13,3029751,Good
6,13709,109,Yes,11,High Street,1061935,1006165,1002529,1001991,8,291,14,11,1512452,Poor
7,16848,117,No,18,Shopping Centre,1910238,1656150,1363895,1159545,11,219,15,15,3418735,Good
6,13899,109,Yes,19,High Street,1888945,1523248,1508361,1233530,2,227,10,15,2526616,Reasonable
5,15876,114,Yes,14,High Street,1423209,1408262,1185937,1046917,7,315,12,11,2333940,Poor
9,13008,107,No,17,High Street,1568216,1509273,1447590,1253376,5,251,14,18,3197934,Good
5,13989,109,Yes,19,Retail Park,1087241,1026797,1010491,1001526,8,247,12,18,3135133,Good
9,15220,113,No,11,Shopping Centre,1103583,1024337,1003393,1000743,6,246,13,19,3822904,Excellent
5,12545,106,Yes,17,High Street,1350345,1108492,1094175,1044860,11,204,15,16,2538362,Reasonable
7,10072,100,No,15,Retail Park,1258330,1256349,1184882,1072598,5,200,14,12,1855427,Poor
5,18752,121,No,16,High Street,1897155,1000653,1000214,1000040,3,220,18,14,2260838,Poor
7,14246,110,No,17,Retail Park,1476016,1380127,1014046,1000933,4,221,16,19,3524409,Excellent
8,12092,105,Yes,11,Shopping Centre,1244807,1228531,1076416,1037950,11,236,16,11,3709026,Excellent
8,15409,113,Yes,12,High Street,1087574,1017665,1003951,1002760,10,277,12,14,3337861,Good
5,10486,101,Yes,16,Retail Park,1237483,1158975,1105342,1032697,9,211,12,18,2407898,Poor
6,12856,107,No,13,Shopping Centre,1481703,1448279,1076634,1036922,5,240,12,19,3260276,Good
5,16652,116,No,12,High Street,1931932,1547591,1547000,1298080,6,280,17,14,1792809,Poor
6,13283,108,No,19,High Street,1605018,1517910,1090982,1064902,4,243,15,17,2804353,Reasonable
6,14497,111,Yes,17,High Street,1537976,1447127,1244066,1046174,5,311,17,18,2869330,Reasonable
5,10804,102,Yes,12,Shopping Centre,1617525,1015435,1013871,1011486,8,202,10,16,2422936,Poor
8,19784,124,Yes,10,Retail Park,1070741,1009942,1000635,1000593,10,381,18,18,4237135,Excellent
7,17912,119,No,10,Shopping Centre,1085917,1079883,1060991,1037616,9,278,13,10,3007050,Good
9,17303,118,No,17,Shopping Centre,1812944,1054693,1016635,1013033,8,337,17,19,4018966,Excellent
6,12987,107,Yes,12,Shopping Centre,1665487,1527666,1467470,1107087,10,255,15,10,2553461,Reasonable
7,19174,122,Yes,12,Shopping Centre,1795548,1001508,1000580,1000052,4,262,19,13,3817558,Excellent
8,13635,109,Yes,16,Retail Park,1549510,1174611,1063668,1009045,5,251,19,11,2405770,Poor
7,19110,122,No,15,Retail Park,1460032,1395215,1164795,1136346,7,338,10,13,1764019,Poor
6,18503,121,Yes,14,Shopping Centre,1815111,1663549,1498248,1010955,4,300,18,14,4793593,Excellent
9,13766,109,Yes,15,Retail Park,1951800,1750297,1195799,1054550,4,278,10,19,2896362,Reasonable
8,17531,118,Yes,14,Retail Park,1451869,1246513,1125463,1026729,3,312,13,17,3192066,Good
5,16344,115,Yes,15,Shopping Centre,1179344,1037715,1033245,1031126,4,226,19,17,3092180,Good
5,17982,119,Yes,11,Shopping Centre,1774382,1297711,1158954,1076046,9,388,18,10,2419983,Poor
5,19579,123,Yes,18,Shopping Centre,1716162,1530071,1183061,1165604,4,345,12,19,2701564,Reasonable
9,11992,104,Yes,10,Shopping Centre,1269669,1048134,1023493,1011228,11,210,15,11,3606536,Excellent
8,10899,102,No,11,Shopping Centre,1549687,1528672,1406356,1208919,6,204,18,14,3304795,Good
6,19223,123,Yes,18,Shopping Centre,1261985,1095548,1017140,1000639,9,266,19,14,3663843,Excellent
6,17242,118,Yes,13,Shopping Centre,1584169,1238617,1066152,1054016,8,376,16,19,3965957,Excellent
6,13009,107,Yes,11,High Street,1143772,1106672,1059392,1051305,6,206,19,16,2651301,Reasonable
5,15738,114,Yes,14,Retail Park,1885907,1018295,1010434,1006442,4,334,14,18,3487542,Good
7,11198,102,Yes,18,Retail Park,1045772,1002236,1000642,1000002,3,206,18,10,2004312,Poor
9,16091,115,No,17,Shopping Centre,1033883,1001550,1001462,1001300,5,270,15,10,3102538,Good
7,15785,114,Yes,14,High Street,1135871,1132465,1072298,1034275,7,254,13,11,2291029,Poor
9,14466,111,Yes,13,Shopping Centre,1301020,1167302,1158329,1045449,9,309,11,19,3741407,Excellent
5,19375,123,Yes,16,High Street,1532781,1444610,1228299,1102398,2,320,12,11,2604575,Reasonable
5,19587,123,No,19,Retail Park,1620284,1174833,1018911,1014177,4,223,10,13,1648919,Poor
9,18928,122,No,19,High Street,1428417,1099245,1078450,1027636,9,245,10,11,1665527,Poor
7,14304,110,No,12,Retail Park,1558604,1313681,1146846,1099067,8,292,19,14,3654694,Excellent
5,19869,124,Yes,16,Retail Park,1259975,1118359,1047303,1038885,9,363,15,15,3598894,Excellent
6,15763,114,Yes,19,Retail Park,1831776,1011411,1004012,1001402,11,323,15,15,2172265,Poor
5,19037,122,Yes,10,High Street,1647297,1055850,1025509,1009779,8,247,19,13,2397407,Poor
6,11901,104,Yes,17,Shopping Centre,1369195,1331407,1237201,1101164,2,235,11,11,2329927,Poor
6,13532,108,Yes,16,Shopping Centre,1145543,1117032,1011454,1005261,11,252,15,15,3444876,Good
5,14087,110,Yes,17,High Street,1997044,1804663,1461181,1290194,3,264,13,17,2564358,Reasonable
9,11889,104,No,19,Shopping Centre,1983592,1234498,1127999,1086379,10,211,11,10,2534145,Reasonable
6,18496,121,Yes,17,Shopping Centre,1672936,1292715,1214843,1191116,9,309,16,14,2956061,Reasonable
5,17582,118,Yes,16,High Street,1207172,1205457,1177404,1061837,9,290,16,13,2467943,Poor
6,17521,118,Yes,13,Shopping Centre,1656951,1594037,1185742,1087131,3,323,19,17,3891535,Excellent
7,16280,115,Yes,14,Shopping Centre,1696068,1109630,1037165,1008244,2,274,18,15,3498966,Good
7,14962,112,No,10,High Street,1034523,1028457,1002231,1002201,4,246,14,16,2872001,Reasonable
6,11820,104,Yes,11,Shopping Centre,1557600,1413964,1249072,1191086,5,211,18,18,3501093,Excellent
9,13908,109,Yes,18,Shopping Centre,1586575,1021914,1017342,1013646,8,268,13,17,3774401,Excellent
9,10080,100,Yes,19,Retail Park,1541541,1474539,1462733,1384705,6,200,16,18,3584813,Excellent
5,11884,104,Yes,18,Retail Park,1030405,1016260,1004442,1003598,10,200,12,14,2561019,Reasonable
7,14120,110,Yes,13,Retail Park,1665074,1240813,1141898,1041041,6,202,18,14,2581954,Reasonable
6,11205,103,No,15,Shopping Centre,1657769,1424404,1378708,1160929,5,203,13,18,2589339,Reasonable
7,16190,115,No,19,Shopping Centre,1407456,1359511,1200486,1063718,7,341,18,18,2583755,Reasonable
6,15516,113,No,17,High Street,1451087,1245725,1127276,1045154,11,261,14,10,950924,Poor
9,14468,111,Yes,18,High Street,1706344,1307752,1159859,1020940,8,276,18,13,3485295,Good
